EventCode,EventType,OpCode,RecordNumber,"_time","anonymized_DomainControllerName",source,"source_workstation",sourcetype,user
4776,0,Info,1074051585,"2016-09-28T17:09:06.000-0700","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1074051710,"2016-09-28T17:09:11.000-0700","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1074076729,"2016-09-28T17:21:02.000-0700","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1074081426,"2016-09-28T17:24:00.000-0700","anon_DomainControllerName_4","WinEventLog:Security",workstation2,"WinEventLog:Security",chuck
4776,0,Info,1074083114,"2016-09-28T17:25:33.000-0700","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1074084858,"2016-09-28T17:27:06.000-0700","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1074107711,"2016-09-28T17:41:06.000-0700","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1074114251,"2016-09-28T17:47:00.000-0700","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292725983,"2016-09-28T17:51:03.000-0700","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292742894,"2016-09-28T18:02:52.000-0700","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1074146489,"2016-09-28T18:06:51.000-0700","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292770230,"2016-09-28T18:25:00.000-0700","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292776150,"2016-09-28T18:29:01.000-0700","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1074215448,"2016-09-28T18:43:17.000-0700","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292812387,"2016-09-28T18:57:19.000-0700","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1074264541,"2016-09-28T19:07:24.000-0700","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292832826,"2016-09-28T19:11:41.000-0700","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292862903,"2016-09-28T19:34:47.000-0700","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292880861,"2016-09-28T19:48:47.000-0700","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1074406017,"2016-09-28T20:29:19.000-0700","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1074423924,"2016-09-28T20:34:47.000-0700","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292966911,"2016-09-28T20:55:24.000-0700","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292995925,"2016-09-28T21:23:01.000-0700","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,293002143,"2016-09-28T21:29:24.000-0700","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
