"_time",User,"Page_Count","anonymized_Printer"
"2016-08-30T08:41:01.000-0700",alice,4,"anon_Printer_9"
"2016-08-30T16:15:44.000-0700",chuck,16,"anon_Printer_9"
"2016-08-31T12:38:04.000-0700",alice,10,"anon_Printer_9"
"2016-08-31T12:38:04.000-0700",alice,10,"anon_Printer_9"
"2016-08-31T12:38:11.000-0700",alice,2,"anon_Printer_9"
"2016-08-31T12:38:11.000-0700",alice,2,"anon_Printer_9"
"2016-08-31T12:38:21.000-0700",alice,4,"anon_Printer_9"
"2016-08-31T12:38:21.000-0700",alice,4,"anon_Printer_9"
"2016-08-31T12:38:44.000-0700",alice,12,"anon_Printer_9"
"2016-08-31T12:38:44.000-0700",alice,12,"anon_Printer_9"
"2016-08-31T14:42:01.000-0700",chuck,1,"anon_Printer_9"
"2016-09-01T11:23:11.000-0700",chuck,18,"anon_Printer_9"
"2016-09-01T11:23:20.000-0700",chuck,2,"anon_Printer_9"
"2016-09-01T11:39:19.000-0700",chuck,17,"anon_Printer_9"
"2016-09-01T12:15:15.000-0700",chuck,3,"anon_Printer_9"
"2016-09-01T12:20:25.000-0700",chuck,3,"anon_Printer_9"
"2016-09-01T12:23:09.000-0700",chuck,1,"anon_Printer_9"
"2016-09-01T12:52:10.000-0700",alice,12,"anon_Printer_9"
"2016-09-01T12:52:10.000-0700",alice,12,"anon_Printer_9"
"2016-09-01T14:15:01.000-0700",alice,2,"anon_Printer_9"
"2016-09-01T14:15:01.000-0700",alice,2,"anon_Printer_9"
"2016-09-01T14:15:40.000-0700",alice,1,"anon_Printer_9"
"2016-09-01T14:15:59.000-0700",alice,2,"anon_Printer_9"
"2016-09-01T14:15:59.000-0700",alice,2,"anon_Printer_9"
"2016-09-01T14:19:46.000-0700",alice,2,"anon_Printer_9"
"2016-09-01T14:19:46.000-0700",alice,2,"anon_Printer_9"
"2016-09-01T14:24:29.000-0700",alice,1,"anon_Printer_9"
"2016-09-01T14:24:39.000-0700",alice,1,"anon_Printer_9"
"2016-09-02T10:44:57.000-0700",alice,3,"anon_Printer_9"
"2016-09-02T10:44:57.000-0700",alice,2,"anon_Printer_9"
"2016-09-02T11:28:15.000-0700",alice,6,"anon_Printer_9"
"2016-09-02T11:28:15.000-0700",alice,6,"anon_Printer_9"
"2016-09-02T11:31:32.000-0700",alice,8,"anon_Printer_9"
"2016-09-02T11:31:32.000-0700",alice,8,"anon_Printer_9"
"2016-09-02T13:39:21.000-0700",alice,6,"anon_Printer_9"
"2016-09-02T13:39:21.000-0700",alice,6,"anon_Printer_9"
"2016-09-02T13:57:53.000-0700",alice,7,"anon_Printer_9"
"2016-09-02T13:57:53.000-0700",alice,6,"anon_Printer_9"
"2016-09-02T14:01:29.000-0700",alice,2,"anon_Printer_9"
"2016-09-02T14:01:29.000-0700",alice,2,"anon_Printer_9"
"2016-09-02T16:05:37.000-0700",alice,7,"anon_Printer_9"
"2016-09-02T16:05:37.000-0700",alice,6,"anon_Printer_9"
"2016-09-02T16:39:07.000-0700",alice,1,"anon_Printer_9"
"2016-09-02T16:39:26.000-0700",alice,12,"anon_Printer_9"
"2016-09-02T16:39:26.000-0700",alice,12,"anon_Printer_9"
"2016-09-06T10:17:48.000-0700",chuck,50,"anon_Printer_9"
"2016-09-06T12:25:51.000-0700",alice,13,"anon_Printer_9"
"2016-09-06T12:25:51.000-0700",alice,12,"anon_Printer_9"
"2016-09-06T12:29:41.000-0700",alice,4,"anon_Printer_9"
"2016-09-06T12:29:41.000-0700",alice,4,"anon_Printer_9"
"2016-09-06T13:03:13.000-0700",alice,1,"anon_Printer_9"
"2016-09-06T13:33:47.000-0700",alice,12,"anon_Printer_9"
"2016-09-06T13:33:47.000-0700",alice,13,"anon_Printer_9"
"2016-09-06T13:34:02.000-0700",alice,10,"anon_Printer_9"
"2016-09-06T13:34:02.000-0700",alice,11,"anon_Printer_9"
"2016-09-06T13:36:28.000-0700",alice,8,"anon_Printer_9"
